IncidntNum,categories,description,days,date,time,address,longitude,latitude,periods
170003120,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,01/02/2017 12:00:00 AM,08:26:00,1200 Block of LA PLAYA ST,-122.509265276857,37.7630727687234,morning
170003120,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,01/02/2017 12:00:00 AM,08:26:00,1200 Block of LA PLAYA ST,-122.509265276857,37.7630727687234,morning
170003142,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Monday,01/02/2017 12:00:00 AM,08:10:00,2400 Block of IRVING ST,-122.484096563184,37.7631996956975,morning
170003158,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,01/02/2017 12:00:00 AM,06:00:00,1200 Block of QUESADA AV,-122.383037431906,37.728636436753,morning
170003170,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,01/02/2017 12:00:00 AM,03:30:00,3100 Block of WASHINGTON ST,-122.445143689223,37.7902748088243,early_morning
170003186,NON-CRIMINAL,LOST PROPERTY,Sunday,01/01/2017 12:00:00 AM,00:30:00,0 Block of 3RD ST,-122.402835528142,37.7868009028384,early_morning
170003192,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Sunday,01/01/2017 12:00:00 AM,18:00:00,2400 Block of 46TH AV,-122.504484775464,37.7408208732724,evening
170003227,TRESPASS,TRESPASSING,Sunday,01/01/2017 12:00:00 AM,03:00:00,300 Block of HUGO ST,-122.461565962018,37.765130253215,early_morning
170003227,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,01/01/2017 12:00:00 AM,03:00:00,300 Block of HUGO ST,-122.461565962018,37.765130253215,early_morning
170003233,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,01/02/2017 12:00:00 AM,07:00:00,200 Block of KEARNY ST,-122.403915681571,37.790538993725,morning
170003249,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,01/02/2017 12:00:00 AM,09:30:00,400 Block of WOOLSEY ST,-122.406049453861,37.7242729303328,morning
170003255,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,01/02/2017 12:00:00 AM,08:45:00,3900 Block of 18TH ST,-122.431710082584,37.7611418813327,morning
170003255,ASSAULT,THREATS AGAINST LIFE,Monday,01/02/2017 12:00:00 AM,08:45:00,3900 Block of 18TH ST,-122.431710082584,37.7611418813327,morning
170003255,OTHER OFFENSES,PROBATION VIOLATION,Monday,01/02/2017 12:00:00 AM,08:45:00,3900 Block of 18TH ST,-122.431710082584,37.7611418813327,morning
170003277,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,01/02/2017 12:00:00 AM,09:50:00,ELLIS ST / TAYLOR ST,-122.411141948101,37.7850736197499,morning
170003318,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,01/01/2017 12:00:00 AM,10:30:00,1500 Block of DOLORES ST,-122.424575505878,37.7442280333573,morning
170003330,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/01/2017 12:00:00 AM,22:00:00,1300 Block of HOWARD ST,-122.413422306246,37.7748651838081,evening
170003346,WARRANTS,WARRANT ARREST,Monday,01/02/2017 12:00:00 AM,10:12:00,6TH ST / MARKET ST,-122.41029351969,37.7822305870036,morning
170003374,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,01/02/2017 12:00:00 AM,10:44:00,11TH ST / MARKET ST,-122.418698328939,37.7755894130051,morning
170003380,OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Monday,01/02/2017 12:00:00 AM,08:57:00,800 Block of CALIFORNIA ST,-122.408264228212,37.7922104706222,morning
170003380,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,01/02/2017 12:00:00 AM,08:57:00,800 Block of CALIFORNIA ST,-122.408264228212,37.7922104706222,morning
170003380,OTHER OFFENSES,PROBATION VIOLATION,Monday,01/02/2017 12:00:00 AM,08:57:00,800 Block of CALIFORNIA ST,-122.408264228212,37.7922104706222,morning
170003409,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,01/02/2017 12:00:00 AM,04:07:00,1400 Block of 44TH AV,-122.503786775839,37.7595652375426,early_morning
170003421,ROBBERY,"SHOPLIFTING, FORCE AGAINST AGENT",Monday,01/02/2017 12:00:00 AM,10:03:00,200 Block of WESTPORTAL AV,-122.468117499815,37.7389000144845,morning
170003437,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,01/01/2017 12:00:00 AM,21:30:00,2600 Block of SANTIAGO ST,-122.495650877394,37.7439893869687,evening
170003459,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,01/02/2017 12:00:00 AM,11:45:00,14TH ST / CASTRO ST,-122.435627378155,37.7673273452883,morning
170003465,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Monday,01/02/2017 12:00:00 AM,10:30:00,LARKIN ST / OFARRELL ST,-122.417903977564,37.7851670875517,morning
170003471,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,01/02/2017 12:00:00 AM,11:55:00,MINNA ST / 8TH ST,-122.412620258006,37.7770259271797,morning
170003487,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/01/2017 12:00:00 AM,18:00:00,1000 Block of GREEN ST,-122.416399942282,37.7985199044393,evening
170003487,NON-CRIMINAL,"LICENSE PLATE, RECOVERED",Sunday,01/01/2017 12:00:00 AM,18:00:00,1000 Block of GREEN ST,-122.416399942282,37.7985199044393,evening
170003493,ASSAULT,BATTERY,Monday,01/02/2017 12:00:00 AM,11:45:00,400 Block of STANYAN ST,-122.454403066889,37.7738178294781,morning
170003512,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/01/2017 12:00:00 AM,10:30:00,22ND ST / YORK ST,-122.408499463102,37.7560541011408,morning
